Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW47,SW_Push,MX100H,253.0475,-129.5400,180.0,top
SW48,SW_Push,MX100H,233.9975,-129.5400,180.0,top
SW49,SW_Push,MX100H,214.9475,-129.5400,180.0,top
SW50,SW_Push,MX100H,195.8975,-129.5400,180.0,top
SW51,SW_Push,MX100H,176.8475,-129.5400,180.0,top
SW52,SW_Push,MX100H,157.7975,-129.5400,180.0,top
SW53,SW_Push,MX100H,138.7475,-129.5400,180.0,top
SW54,SW_Push,MX100H,119.6975,-129.5400,180.0,top
SW55,SW_Push,MX100H,100.6475,-129.5400,180.0,top
SW56,SW_Push,MX100H,81.5975,-129.5400,180.0,top
SW57,SW_Push,MX100H,267.3350,-148.5900,180.0,top
SW58,SW_Push,MX100H,248.2850,-148.5900,180.0,top
SW59,SW_Push,MX200HR,219.7100,-148.5900,180.0,top
SW60,SW_Push,MX100H,191.1350,-148.5900,180.0,top
SW61,SW_Push,MX100H,172.0850,-148.5900,180.0,top
